kernel;c_value;gamma;degree;coef0;iteration;class;precision;recall;f1;accuracy
poly;0.10;1;2;1;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;2;1;4;2;0.9802;0.9683;0.9742;0.9841
poly;0.10;10;2;10;5;0;0.9849;0.9866;0.9857;0.9879
poly;0.10;10;2;10;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;2;10;5;2;0.9816;0.9794;0.9805;0.9879
poly;0.10;1;4;1;5;0;0.9818;0.9859;0.9839;0.9863
poly;0.10;1;4;1;5;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;4;1;5;2;0.9808;0.9750;0.9779;0.9864
poly;0.10;10;3;100;5;0;0.9856;0.9866;0.9861;0.9882
poly;0.10;10;3;100;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;3;100;5;2;0.9816;0.9802;0.9809;0.9882
poly;0.10;1;5;100;1;0;0.9803;0.9891;0.9847;0.9869
poly;0.10;1;5;100;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;5;100;1;2;0.9849;0.9728;0.9788;0.9869
poly;0.10;10;2;100;1;0;0.9821;0.9880;0.9850;0.9873
poly;0.10;10;2;100;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;2;100;1;2;0.9834;0.9754;0.9794;0.9873
poly;0.10;1;4;10;1;0;0.9825;0.9882;0.9853;0.9875
poly;0.10;1;4;10;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;4;10;1;2;0.9837;0.9759;0.9798;0.9875
poly;0.10;1;2;1;5;0;0.9781;0.9862;0.9821;0.9848
poly;0.10;1;2;1;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;2;1;5;2;0.9809;0.9698;0.9753;0.9848
poly;0.10;10;4;1;1;0;0.9822;0.9882;0.9852;0.9874
poly;0.10;10;4;1;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;4;1;1;2;0.9837;0.9755;0.9796;0.9874
poly;0.10;1;4;10;2;0;0.9868;0.9882;0.9875;0.9894
poly;0.10;1;4;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;4;10;2;2;0.9838;0.9820;0.9829;0.9894
poly;0.10;10;2;100;2;0;0.9863;0.9886;0.9875;0.9894
poly;0.10;10;2;100;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;2;100;2;2;0.9843;0.9813;0.9828;0.9894
poly;0.10;0.1;6;1;1;0;0.9734;0.9839;0.9786;0.9818
poly;0.10;0.1;6;1;1;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;0.1;6;1;1;2;0.9776;0.9631;0.9703;0.9817
poly;0.10;1;2;10;1;0;0.9789;0.9895;0.9842;0.9865
poly;0.10;1;2;10;1;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;2;10;1;2;0.9856;0.9709;0.9782;0.9866
poly;0.10;1;4;10;3;0;0.9868;0.9859;0.9864;0.9885
poly;0.10;1;4;10;3;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;1;4;10;3;2;0.9811;0.9820;0.9815;0.9886
poly;0.10;0.1;2;1;1;0;0.9720;0.9896;0.9807;0.9835
poly;0.10;0.1;2;1;1;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;0.1;2;1;1;2;0.9856;0.9610;0.9731;0.9836
poly;0.10;10;4;1;2;0;0.9860;0.9882;0.9871;0.9890
poly;0.10;10;4;1;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;4;1;2;2;0.9838;0.9807;0.9823;0.9890
poly;0.10;10;2;100;3;0;0.9864;0.9863;0.9864;0.9885
poly;0.10;10;2;100;3;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;10;2;100;3;2;0.9816;0.9814;0.9815;0.9886
poly;0.10;1;4;10;4;0;0.9834;0.9855;0.9845;0.9868
poly;0.10;1;4;10;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;4;10;4;2;0.9803;0.9773;0.9788;0.9869
poly;0.10;1;5;100;2;0;0.9838;0.9886;0.9862;0.9883
poly;0.10;1;5;100;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;5;100;2;2;0.9843;0.9778;0.9810;0.9883
poly;0.10;1;2;10;2;0;0.9826;0.9893;0.9860;0.9881
poly;0.10;1;2;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;2;10;2;2;0.9853;0.9761;0.9807;0.9881
poly;0.10;1;4;10;5;0;0.9853;0.9867;0.9860;0.9881
poly;0.10;1;4;10;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;4;10;5;2;0.9818;0.9799;0.9808;0.9881
poly;0.10;10;2;100;4;0;0.9828;0.9855;0.9842;0.9866
poly;0.10;10;2;100;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;10;2;100;4;2;0.9803;0.9764;0.9784;0.9866
poly;0.10;10;4;1;3;0;0.9865;0.9857;0.9861;0.9882
poly;0.10;10;4;1;3;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;10;4;1;3;2;0.9806;0.9816;0.9811;0.9883
poly;0.10;0.1;4;1;1;0;0.9712;0.9854;0.9783;0.9815
poly;0.10;0.1;4;1;1;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;0.1;4;1;1;2;0.9796;0.9599;0.9697;0.9814
poly;0.10;1;2;10;3;0;0.9836;0.9876;0.9856;0.9878
poly;0.10;1;2;10;3;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;1;2;10;3;2;0.9834;0.9775;0.9804;0.9879
poly;0.10;10;2;100;5;0;0.9849;0.9869;0.9859;0.9881
poly;0.10;10;2;100;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;2;100;5;2;0.9821;0.9794;0.9807;0.9881
poly;0.10;10;4;1;4;0;0.9833;0.9853;0.9843;0.9867
poly;0.10;10;4;1;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;10;4;1;4;2;0.9800;0.9771;0.9785;0.9867
poly;0.10;1;2;10;4;0;0.9801;0.9871;0.9836;0.9860
poly;0.10;1;2;10;4;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;1;2;10;4;2;0.9825;0.9726;0.9775;0.9861
poly;0.10;1;4;100;1;0;0.9818;0.9877;0.9848;0.9871
poly;0.10;1;4;100;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;4;100;1;2;0.9830;0.9750;0.9790;0.9871
poly;0.10;0.1;6;1;2;0;0.9712;0.9843;0.9777;0.9810
poly;0.10;0.1;6;1;2;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;0.1;6;1;2;2;0.9783;0.9601;0.9691;0.9810
poly;0.10;10;3;1;1;0;0.9815;0.9882;0.9848;0.9871
poly;0.10;10;3;1;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;3;1;1;2;0.9837;0.9745;0.9791;0.9871
poly;0.10;10;4;1;5;0;0.9848;0.9864;0.9856;0.9878
poly;0.10;10;4;1;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;4;1;5;2;0.9814;0.9792;0.9803;0.9878
poly;0.10;1;5;100;3;0;0.9861;0.9862;0.9861;0.9882
poly;0.10;1;5;100;3;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;5;100;3;2;0.9811;0.9809;0.9810;0.9882
poly;0.10;1;2;10;5;0;0.9816;0.9876;0.9846;0.9869
poly;0.10;1;2;10;5;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;2;10;5;2;0.9830;0.9747;0.9788;0.9869
poly;0.10;10;3;1;2;0;0.9861;0.9882;0.9871;0.9891
poly;0.10;10;3;1;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;3;1;2;2;0.9838;0.9809;0.9824;0.9891
poly;0.10;1;2;100;1;0;0.9792;0.9899;0.9845;0.9868
poly;0.10;1;2;100;1;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;1;2;100;1;2;0.9864;0.9712;0.9788;0.9869
poly;0.10;10;4;10;1;0;0.9820;0.9885;0.9852;0.9874
poly;0.10;10;4;10;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;4;10;1;2;0.9841;0.9752;0.9796;0.9874
poly;0.10;1;4;100;2;0;0.9850;0.9887;0.9868;0.9888
poly;0.10;1;4;100;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;4;100;2;2;0.9845;0.9794;0.9819;0.9888
poly;0.10;1;2;100;2;0;0.9835;0.9897;0.9866;0.9886
poly;0.10;1;2;100;2;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;1;2;100;2;2;0.9865;0.9773;0.9819;0.9888
poly;0.10;10;3;1;3;0;0.9865;0.9858;0.9862;0.9883
poly;0.10;10;3;1;3;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;10;3;1;3;2;0.9809;0.9816;0.9813;0.9884
poly;0.10;1;2;100;3;0;0.9842;0.9874;0.9858;0.9880
poly;0.10;1;2;100;3;1;0.9980;1.0000;0.9990;0.9995
poly;0.10;1;2;100;3;2;0.9845;0.9783;0.9814;0.9885
poly;0.10;1;5;100;4;0;0.9830;0.9853;0.9842;0.9866
poly;0.10;1;5;100;4;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;1;5;100;4;2;0.9802;0.9768;0.9785;0.9867
poly;0.10;10;4;10;2;0;0.9867;0.9883;0.9875;0.9894
poly;0.10;10;4;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;4;10;2;2;0.9840;0.9818;0.9829;0.9894
poly;0.10;10;3;1;4;0;0.9832;0.9857;0.9844;0.9868
poly;0.10;10;3;1;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;10;3;1;4;2;0.9805;0.9769;0.9787;0.9868
poly;0.10;1;2;100;4;0;0.9804;0.9871;0.9837;0.9861
poly;0.10;1;2;100;4;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;1;2;100;4;2;0.9828;0.9729;0.9779;0.9864
poly;0.10;0.1;6;1;3;0;0.9729;0.9826;0.9777;0.9810
poly;0.10;0.1;6;1;3;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;0.1;6;1;3;2;0.9759;0.9625;0.9692;0.9810
poly;0.10;1;4;100;3;0;0.9839;0.9872;0.9856;0.9878
poly;0.10;1;4;100;3;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;4;100;3;2;0.9826;0.9780;0.9803;0.9878
poly;0.10;10;3;1;5;0;0.9846;0.9866;0.9856;0.9878
poly;0.10;10;3;1;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;3;1;5;2;0.9816;0.9788;0.9802;0.9878
poly;0.10;1;2;100;5;0;0.9817;0.9872;0.9844;0.9868
poly;0.10;1;2;100;5;1;0.9988;1.0000;0.9994;0.9997
poly;0.10;1;2;100;5;2;0.9834;0.9749;0.9791;0.9871
poly;0.10;10;4;10;3;0;0.9873;0.9863;0.9868;0.9888
poly;0.10;10;4;10;3;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;4;10;3;2;0.9813;0.9827;0.9820;0.9888
poly;0.10;10;3;10;1;0;0.9825;0.9880;0.9852;0.9874
poly;0.10;10;3;10;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;3;10;1;2;0.9834;0.9759;0.9796;0.9874
poly;0.10;1;3;1;1;0;0.9786;0.9872;0.9829;0.9854
poly;0.10;1;3;1;1;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;3;1;1;2;0.9824;0.9705;0.9764;0.9855
poly;0.10;1;4;100;4;0;0.9828;0.9855;0.9842;0.9866
poly;0.10;1;4;100;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;4;100;4;2;0.9803;0.9764;0.9784;0.9866
poly;0.10;10;3;10;2;0;0.9867;0.9881;0.9874;0.9893
poly;0.10;10;3;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;3;10;2;2;0.9837;0.9818;0.9827;0.9893
poly;0.10;10;4;10;4;0;0.9849;0.9860;0.9855;0.9877
poly;0.10;10;4;10;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;10;4;10;4;2;0.9811;0.9794;0.9802;0.9878
poly;0.10;1;5;100;5;0;0.9843;0.9874;0.9859;0.9880
poly;0.10;1;5;100;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;5;100;5;2;0.9828;0.9785;0.9806;0.9880
poly;0.10;0.1;4;1;2;0;0.9697;0.9852;0.9774;0.9807
poly;0.10;0.1;4;1;2;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;0.1;4;1;2;2;0.9794;0.9579;0.9685;0.9807
poly;0.10;1;3;1;2;0;0.9805;0.9873;0.9839;0.9863
poly;0.10;1;3;1;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;3;1;2;2;0.9825;0.9731;0.9778;0.9863
poly;0.10;0.1;6;1;4;0;0.9696;0.9824;0.9759;0.9795
poly;0.10;0.1;6;1;4;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;0.1;6;1;4;2;0.9760;0.9577;0.9667;0.9796
poly;0.10;10;3;10;3;0;0.9874;0.9848;0.9861;0.9882
poly;0.10;10;3;10;3;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;10;3;10;3;2;0.9796;0.9828;0.9812;0.9883
poly;0.10;1;4;100;5;0;0.9839;0.9868;0.9854;0.9876
poly;0.10;1;4;100;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;4;100;5;2;0.9819;0.9780;0.9799;0.9876
poly;0.10;10;4;10;5;0;0.9854;0.9876;0.9865;0.9886
poly;0.10;10;4;10;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;4;10;5;2;0.9830;0.9801;0.9815;0.9886
poly;0.10;1;6;1;1;0;0.9796;0.9881;0.9838;0.9862
poly;0.10;1;6;1;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;6;1;1;2;0.9835;0.9719;0.9777;0.9862
poly;0.10;10;3;10;4;0;0.9847;0.9850;0.9848;0.9872
poly;0.10;10;3;10;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;10;3;10;4;2;0.9797;0.9790;0.9794;0.9872
poly;0.10;1;3;1;3;0;0.9814;0.9855;0.9835;0.9860
poly;0.10;1;3;1;3;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;1;3;1;3;2;0.9806;0.9745;0.9776;0.9861
poly;0.10;1;5;1;1;0;0.9796;0.9880;0.9838;0.9862
poly;0.10;1;5;1;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;5;1;1;2;0.9833;0.9719;0.9776;0.9862
poly;0.10;10;3;10;5;0;0.9858;0.9862;0.9860;0.9881
poly;0.10;10;3;10;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;3;10;5;2;0.9811;0.9806;0.9808;0.9881
poly;0.10;1;6;1;2;0;0.9828;0.9874;0.9851;0.9874
poly;0.10;1;6;1;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;6;1;2;2;0.9827;0.9764;0.9796;0.9874
poly;0.10;1;5;1;2;0;0.9825;0.9872;0.9848;0.9871
poly;0.10;1;5;1;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;5;1;2;2;0.9824;0.9759;0.9791;0.9871
poly;0.10;1;3;1;4;0;0.9789;0.9847;0.9818;0.9845
poly;0.10;1;3;1;4;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;1;3;1;4;2;0.9794;0.9710;0.9752;0.9847
poly;0.10;1;6;1;3;0;0.9839;0.9858;0.9849;0.9872
poly;0.10;1;6;1;3;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;1;6;1;3;2;0.9809;0.9780;0.9794;0.9873
poly;0.10;1;5;1;3;0;0.9832;0.9857;0.9844;0.9868
poly;0.10;1;5;1;3;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;1;5;1;3;2;0.9807;0.9769;0.9788;0.9869
poly;0.10;0.1;6;1;5;0;0.9729;0.9824;0.9776;0.9809
poly;0.10;0.1;6;1;5;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;0.1;6;1;5;2;0.9759;0.9625;0.9692;0.9810
poly;0.10;0.1;2;1;2;0;0.9766;0.9896;0.9831;0.9856
poly;0.10;0.1;2;1;2;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;0.1;2;1;2;2;0.9859;0.9676;0.9766;0.9857
poly;0.10;1;6;1;4;0;0.9813;0.9854;0.9834;0.9859
poly;0.10;1;6;1;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;6;1;4;2;0.9801;0.9743;0.9772;0.9859
poly;0.10;1;3;1;5;0;0.9803;0.9858;0.9831;0.9856
poly;0.10;1;3;1;5;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;3;1;5;2;0.9806;0.9729;0.9768;0.9857
poly;0.10;0.1;6;10;1;0;0.9825;0.9881;0.9853;0.9875
poly;0.10;0.1;6;10;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;0.1;6;10;1;2;0.9836;0.9759;0.9797;0.9875
poly;0.10;1;5;1;4;0;0.9808;0.9854;0.9831;0.9857
poly;0.10;1;5;1;4;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;1;5;1;4;2;0.9803;0.9736;0.9769;0.9858
poly;0.10;1;6;1;5;0;0.9832;0.9860;0.9846;0.9869
poly;0.10;1;6;1;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;6;1;5;2;0.9808;0.9769;0.9789;0.9869
poly;0.10;1;3;10;1;0;0.9816;0.9880;0.9848;0.9871
poly;0.10;1;3;10;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;3;10;1;2;0.9834;0.9747;0.9790;0.9871
poly;0.10;0.1;4;1;3;0;0.9709;0.9830;0.9769;0.9803
poly;0.10;0.1;4;1;3;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;0.1;4;1;3;2;0.9764;0.9596;0.9679;0.9803
poly;0.10;1;3;10;2;0;0.9858;0.9886;0.9872;0.9891
poly;0.10;1;3;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;3;10;2;2;0.9843;0.9806;0.9825;0.9891
poly;0.10;0.1;6;10;2;0;0.9870;0.9885;0.9877;0.9896
poly;0.10;0.1;6;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;0.1;6;10;2;2;0.9842;0.9821;0.9832;0.9896
poly;0.10;1;5;1;5;0;0.9827;0.9860;0.9844;0.9867
poly;0.10;1;5;1;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;5;1;5;2;0.9808;0.9762;0.9785;0.9867
poly;0.10;1;3;10;3;0;0.9861;0.9866;0.9863;0.9884
poly;0.10;1;3;10;3;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;1;3;10;3;2;0.9819;0.9809;0.9814;0.9885
poly;0.10;1;3;10;4;0;0.9828;0.9855;0.9842;0.9866
poly;0.10;1;3;10;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;3;10;4;2;0.9803;0.9764;0.9784;0.9866
poly;0.10;10;4;100;1;0;0.9820;0.9888;0.9854;0.9876
poly;0.10;10;4;100;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;4;100;1;2;0.9846;0.9752;0.9799;0.9876
poly;0.10;1;3;10;5;0;0.9848;0.9871;0.9859;0.9881
poly;0.10;1;3;10;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;3;10;5;2;0.9823;0.9792;0.9807;0.9881
poly;0.10;0.1;6;10;3;0;0.9867;0.9858;0.9862;0.9883
poly;0.10;0.1;6;10;3;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;0.1;6;10;3;2;0.9809;0.9818;0.9814;0.9885
poly;0.10;1;6;10;1;0;0.9819;0.9888;0.9853;0.9875
poly;0.10;1;6;10;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;6;10;1;2;0.9846;0.9750;0.9798;0.9875
poly;1.00;0.1;3;100;1;0;0.9792;0.9890;0.9840;0.9864
poly;1.00;0.1;3;100;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;0.1;3;100;1;2;0.9847;0.9712;0.9779;0.9864
poly;1.00;0.1;2;1;1;0;0.9734;0.9891;0.9812;0.9839
poly;1.00;0.1;2;1;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;0.1;2;1;1;2;0.9847;0.9631;0.9738;0.9839
poly;0.10;0.1;6;10;4;0;0.9834;0.9854;0.9844;0.9868
poly;0.10;0.1;6;10;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;0.1;6;10;4;2;0.9802;0.9773;0.9787;0.9868
poly;1.00;0.1;3;100;2;0;0.9842;0.9887;0.9865;0.9885
poly;1.00;0.1;3;100;2;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;0.1;3;100;2;2;0.9845;0.9783;0.9814;0.9885
poly;1.00;0.1;3;100;3;0;0.9849;0.9867;0.9858;0.9880
poly;1.00;0.1;3;100;3;1;0.9992;1.0000;0.9996;0.9998
poly;1.00;0.1;3;100;3;2;0.9824;0.9794;0.9809;0.9882
poly;0.10;1;6;10;2;0;0.9866;0.9887;0.9876;0.9895
poly;0.10;1;6;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;6;10;2;2;0.9845;0.9816;0.9831;0.9895
poly;0.10;0.1;6;10;5;0;0.9848;0.9867;0.9857;0.9879
poly;0.10;0.1;6;10;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;0.1;6;10;5;2;0.9817;0.9792;0.9805;0.9879
poly;1.00;0.1;2;1;2;0;0.9776;0.9896;0.9836;0.9860
poly;1.00;0.1;2;1;2;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;0.1;2;1;2;2;0.9855;0.9690;0.9772;0.9860
poly;1.00;0.1;3;100;4;0;0.9819;0.9859;0.9839;0.9864
poly;1.00;0.1;3;100;4;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;0.1;3;100;4;2;0.9810;0.9752;0.9781;0.9865
poly;1.00;0.1;3;100;5;0;0.9817;0.9871;0.9844;0.9867
poly;1.00;0.1;3;100;5;1;0.9998;1.0000;0.9999;0.9999
poly;1.00;0.1;3;100;5;2;0.9823;0.9749;0.9786;0.9868
poly;0.10;0.1;6;100;1;0;0.9807;0.9878;0.9843;0.9866
poly;0.10;0.1;6;100;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;0.1;6;100;1;2;0.9832;0.9735;0.9783;0.9866
poly;0.10;0.1;2;1;3;0;0.9764;0.9868;0.9816;0.9843
poly;0.10;0.1;2;1;3;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;0.1;2;1;3;2;0.9824;0.9674;0.9748;0.9845
poly;0.10;1;6;10;3;0;0.9873;0.9863;0.9868;0.9888
poly;0.10;1;6;10;3;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;6;10;3;2;0.9813;0.9827;0.9820;0.9888
poly;0.10;10;5;10;1;0;0.9809;0.9891;0.9850;0.9872
poly;0.10;10;5;10;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;5;10;1;2;0.9849;0.9736;0.9792;0.9872
poly;0.10;0.1;4;1;4;0;0.9673;0.9839;0.9755;0.9791
poly;0.10;0.1;4;1;4;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;0.1;4;1;4;2;0.9774;0.9542;0.9657;0.9790
poly;0.10;0.1;6;100;2;0;0.9821;0.9887;0.9854;0.9876
poly;0.10;0.1;6;100;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;0.1;6;100;2;2;0.9844;0.9754;0.9799;0.9876
poly;0.10;10;4;100;2;0;0.9868;0.9891;0.9880;0.9898
poly;0.10;10;4;100;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;10;4;100;2;2;0.9850;0.9820;0.9835;0.9898
poly;1.00;0.1;2;1;3;0;0.9770;0.9871;0.9820;0.9847
poly;1.00;0.1;2;1;3;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;0.1;2;1;3;2;0.9824;0.9683;0.9753;0.9848
poly;1.00;0.1;4;1;1;0;0.9775;0.9883;0.9829;0.9854
poly;1.00;0.1;4;1;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;0.1;4;1;1;2;0.9838;0.9690;0.9763;0.9854
poly;0.10;0.1;6;100;3;0;0.9848;0.9858;0.9853;0.9875
poly;0.10;0.1;6;100;3;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;0.1;6;100;3;2;0.9807;0.9792;0.9800;0.9876
poly;0.10;0.1;6;100;4;0;0.9822;0.9852;0.9837;0.9861
poly;0.10;0.1;6;100;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;0.1;6;100;4;2;0.9798;0.9755;0.9777;0.9862
poly;0.10;1;6;10;4;0;0.9844;0.9863;0.9854;0.9876
poly;0.10;1;6;10;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;1;6;10;4;2;0.9814;0.9787;0.9800;0.9876
poly;1.00;0.1;4;1;2;0;0.9802;0.9880;0.9841;0.9865
poly;1.00;0.1;4;1;2;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;0.1;4;1;2;2;0.9833;0.9728;0.9780;0.9865
poly;0.10;0.1;6;100;5;0;0.9830;0.9872;0.9851;0.9873
poly;0.10;0.1;6;100;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;0.1;6;100;5;2;0.9824;0.9766;0.9795;0.9873
poly;1.00;0.1;2;1;4;0;0.9747;0.9869;0.9808;0.9836
poly;1.00;0.1;2;1;4;1;0.9998;1.0000;0.9999;0.9999
poly;1.00;0.1;2;1;4;2;0.9820;0.9650;0.9734;0.9837
poly;0.10;0.1;4;1;5;0;0.9702;0.9833;0.9767;0.9801
poly;0.10;0.1;4;1;5;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;0.1;4;1;5;2;0.9770;0.9586;0.9677;0.9802
poly;0.10;0.1;4;10;1;0;0.9804;0.9885;0.9844;0.9867
poly;0.10;0.1;4;10;1;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;0.1;4;10;1;2;0.9842;0.9729;0.9785;0.9868
poly;0.10;1;6;10;5;0;0.9852;0.9878;0.9865;0.9886
poly;0.10;1;6;10;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;1;6;10;5;2;0.9833;0.9797;0.9815;0.9886
poly;1.00;0.1;5;10;1;0;0.9825;0.9882;0.9853;0.9875
poly;1.00;0.1;5;10;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;0.1;5;10;1;2;0.9837;0.9759;0.9798;0.9875
poly;1.00;0.1;4;1;3;0;0.9807;0.9868;0.9838;0.9862
poly;1.00;0.1;4;1;3;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;0.1;4;1;3;2;0.9822;0.9735;0.9778;0.9863
poly;0.10;0.1;4;10;2;0;0.9849;0.9893;0.9871;0.9890
poly;0.10;0.1;4;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;0.1;4;10;2;2;0.9853;0.9792;0.9823;0.9890
poly;0.10;0.1;4;10;3;0;0.9854;0.9867;0.9861;0.9882
poly;0.10;0.1;4;10;3;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;0.1;4;10;3;2;0.9824;0.9801;0.9812;0.9884
poly;1.00;0.1;5;10;2;0;0.9872;0.9883;0.9878;0.9896
poly;1.00;0.1;5;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;0.1;5;10;2;2;0.9840;0.9825;0.9833;0.9896
poly;0.10;0.1;4;10;4;0;0.9822;0.9864;0.9843;0.9867
poly;0.10;0.1;4;10;4;1;0.9996;1.0000;0.9998;0.9999
